Location,TimeFrame,MEDICAID_CNT
Shelby,2017,5048
Shelby,2018,4598
Shelby,2019,4491
Simpson,2014,2421
Simpson,2015,2382
Simpson,2016,2528
Simpson,2017,2588
Simpson,2018,2418
Simpson,2019,2383
Spencer,2014,1515
Spencer,2015,1423
Spencer,2016,1539
Spencer,2017,1536
Spencer,2018,1427
Spencer,2019,1388
Taylor,2014,3645
Taylor,2015,3408
Taylor,2016,3757
Taylor,2017,3756
Taylor,2018,3486
Taylor,2019,3544
Todd,2014,1653
Todd,2015,1588
Todd,2016,1737
Todd,2017,1665
Todd,2018,1507
Todd,2019,1387
Trigg,2014,1520
Trigg,2015,1502
Trigg,2016,1670
Trigg,2017,1680
Trigg,2018,1482
Trigg,2019,1425
Trimble,2014,1140
Trimble,2015,1081
Trimble,2016,1162
Trimble,2017,1098
Trimble,2018,1022
Trimble,2019,893
Union,2014,1829
Union,2015,1845
Union,2016,1911
Union,2017,1916
Union,2018,1718
Union,2019,1669
Warren,2014,14717
Warren,2015,14873
Warren,2016,17019
Warren,2017,17117
Warren,2018,15919
Warren,2019,15737
Washington,2014,1548
Washington,2015,1456
Washington,2016,1621
Washington,2017,1608
Washington,2018,1519
Washington,2019,1424
Wayne,2014,3505
Wayne,2015,3438
Wayne,2016,3538
Wayne,2017,3473
Wayne,2018,3302
Wayne,2019,3263
Webster,2014,1805
Webster,2015,1735
Webster,2016,1917
Webster,2017,1878
Webster,2018,1789
Webster,2019,1743
Whitley,2014,7565
Whitley,2015,7333
Whitley,2016,7900
Whitley,2017,7847
Whitley,2018,7103
Whitley,2019,6978
Wolfe,2014,1592
Wolfe,2015,1541
Wolfe,2016,1609
Wolfe,2017,1593
Wolfe,2018,1443
Wolfe,2019,1409
Woodford,2014,2554
Woodford,2015,2540
Woodford,2016,2744
Woodford,2017,2685
Woodford,2018,2437
Woodford,2019,2249
