Location,TimeFrame,COLLEGE_GRAD_PCT
McLean,2012-2013,0.53
McLean,2013-2014,0.71
McLean,2014-2015,0.56
McLean,2015-2016,0.47
McLean,2016-2017,0.63
McLean,2017-2018,0.73
Madison,2011-2012,0.56
Madison,2012-2013,0.53
Madison,2013-2014,0.54
Madison,2014-2015,0.53
Madison,2015-2016,0.5
Madison,2016-2017,0.5
Madison,2017-2018,0.42
Magoffin,2011-2012,0.86
Magoffin,2012-2013,0.43
Magoffin,2013-2014,0.75
Magoffin,2014-2015,0.38
Magoffin,2015-2016,0.83
Magoffin,2016-2017,0.4
Magoffin,2017-2018,0.56
Marion,2011-2012,0.69
Marion,2012-2013,0.57
Marion,2013-2014,0.43
Marion,2014-2015,0.47
Marion,2015-2016,0.45
Marion,2016-2017,0.69
Marion,2017-2018,0.59
Marshall,2011-2012,0.63
Marshall,2012-2013,0.65
Marshall,2013-2014,0.58
Marshall,2014-2015,0.56
Marshall,2015-2016,0.58
Marshall,2016-2017,0.55
Marshall,2017-2018,0.54
Martin,2011-2012,0.57
Martin,2012-2013,0.8
Martin,2013-2014,0.35
Martin,2014-2015,0.36
Martin,2015-2016,0.36
Martin,2016-2017,0.36
Martin,2017-2018,0.54
Mason,2011-2012,0.58
Mason,2012-2013,0.59
Mason,2013-2014,0.58
Mason,2014-2015,0.52
Mason,2015-2016,0.59
Mason,2016-2017,0.66
Mason,2017-2018,0.5
Meade,2011-2012,0.45
Meade,2012-2013,0.52
Meade,2013-2014,0.62
Meade,2014-2015,0.51
Meade,2015-2016,0.53
Meade,2016-2017,0.5
Meade,2017-2018,0.51
Menifee,2011-2012,0.45
Menifee,2012-2013,0.38
Menifee,2013-2014,0.28
Menifee,2014-2015,0.4
Menifee,2015-2016,0.32
Menifee,2016-2017,0.32
Menifee,2017-2018,0.17
Mercer,2011-2012,0.43
Mercer,2012-2013,0.52
Mercer,2013-2014,0.54
Mercer,2014-2015,0.51
Mercer,2015-2016,0.5
Mercer,2016-2017,0.42
Mercer,2017-2018,0.62
Metcalfe,2011-2012,0.44
Metcalfe,2012-2013,0.44
Metcalfe,2013-2014,0.61
Metcalfe,2014-2015,0.28
Metcalfe,2015-2016,0.62
Metcalfe,2016-2017,0.39
Metcalfe,2017-2018,0.3
Monroe,2011-2012,0.43
Monroe,2012-2013,0.6
Monroe,2013-2014,0.51
Monroe,2014-2015,0.48
Monroe,2015-2016,0.47
Monroe,2016-2017,0.41
Monroe,2017-2018,0.68
Montgomery,2011-2012,0.51
Montgomery,2012-2013,0.46
Montgomery,2013-2014,0.41
Montgomery,2014-2015,0.34
Montgomery,2015-2016,0.42
Montgomery,2016-2017,0.37
Montgomery,2017-2018,0.38
Morgan,2011-2012,0.45
Morgan,2012-2013,0.39
Morgan,2013-2014,0.32
Morgan,2014-2015,0.31
Morgan,2015-2016,0.24
Morgan,2016-2017,0.35
Morgan,2017-2018,0.31
Muhlenberg,2011-2012,0.56
Muhlenberg,2012-2013,0.51
Muhlenberg,2013-2014,0.6
Muhlenberg,2014-2015,0.44
Muhlenberg,2015-2016,0.58
Muhlenberg,2016-2017,0.61
Muhlenberg,2017-2018,0.63
Nelson,2011-2012,0.43
Nelson,2012-2013,0.6
Nelson,2013-2014,0.63
Nelson,2014-2015,0.5
Nelson,2015-2016,0.52
Nelson,2016-2017,0.58
