Location,Age group,TimeFrame,CHILD_POP_CNT,,
Metcalfe,0-17,2017,2443,,
Monroe,0-17,2011,2502,,
Monroe,0-17,2012,2465,,
Monroe,0-17,2013,2382,,
Monroe,0-17,2014,2402,,
Monroe,0-17,2015,2420,,
Monroe,0-17,2016,2402,,
Monroe,0-17,2017,2416,,
Montgomery,0-17,2011,6504,,
Montgomery,0-17,2012,6582,,
Montgomery,0-17,2013,6582,,
Montgomery,0-17,2014,6654,,
Montgomery,0-17,2015,6634,,
Montgomery,0-17,2016,6647,,
Montgomery,0-17,2017,6622,,
Morgan,0-17,2011,2803,,
Morgan,0-17,2012,2750,,
Morgan,0-17,2013,2572,,
Morgan,0-17,2014,2506,,
Morgan,0-17,2015,2552,,
Morgan,0-17,2016,2516,,
Morgan,0-17,2017,2469,,
Muhlenberg,0-17,2011,6761,,
Muhlenberg,0-17,2012,6615,,
Muhlenberg,0-17,2013,6564,,
Muhlenberg,0-17,2014,6524,,
Muhlenberg,0-17,2015,6522,,
Muhlenberg,0-17,2016,6426,,
Muhlenberg,0-17,2017,6374,,
Nelson,0-17,2011,11241,,
Nelson,0-17,2012,11206,,
Nelson,0-17,2013,11229,,
Nelson,0-17,2014,11192,,
Nelson,0-17,2015,11171,,
Nelson,0-17,2016,11085,,
Nelson,0-17,2017,10898,,
Nicholas,0-17,2011,1701,,
Nicholas,0-17,2012,1647,,
Nicholas,0-17,2013,1620,,
Nicholas,0-17,2014,1597,,
Nicholas,0-17,2015,1674,,
Nicholas,0-17,2016,1672,,
Nicholas,0-17,2017,1702,,
Ohio,0-17,2011,6027,,
Ohio,0-17,2012,6010,,
Ohio,0-17,2013,5808,,
Ohio,0-17,2014,5872,,
Ohio,0-17,2015,5935,,
Ohio,0-17,2016,5913,,
Ohio,0-17,2017,5877,,
Oldham,0-17,2011,16401,,
Oldham,0-17,2012,16224,,
Oldham,0-17,2013,16471,,
Oldham,0-17,2014,16661,,
Oldham,0-17,2015,16641,,
Oldham,0-17,2016,16704,,
Oldham,0-17,2017,16892,,
Owen,0-17,2011,2677,,
Owen,0-17,2012,2565,,
Owen,0-17,2013,2492,,
Owen,0-17,2014,2473,,
Owen,0-17,2015,2505,,
