Location,TimeFrame,LOW_BIRTH_WEIGHT_PCT
Monroe,2011-2013,0.073
Monroe,2012-2014,0.067
Monroe,2013-2015,0.081
Monroe,2014-2016,0.08933
Monroe,2015-2017,0.108
Monroe,2016-2018,0.089
Montgomery,2008-2010,0.092
Montgomery,2009-2011,0.087
Montgomery,2010-2012,0.09
Montgomery,2011-2013,0.081
Montgomery,2012-2014,0.084
Montgomery,2013-2015,0.097
Montgomery,2014-2016,0.10009
Montgomery,2015-2017,0.099
Montgomery,2016-2018,0.089
Morgan,2008-2010,0.11
Morgan,2009-2011,0.098
Morgan,2010-2012,0.071
Morgan,2011-2013,0.072
Morgan,2012-2014,0.095
Morgan,2013-2015,0.115
Morgan,2014-2016,0.11605
Morgan,2015-2017,0.106
Morgan,2016-2018,0.101
Muhlenberg,2008-2010,0.079
Muhlenberg,2009-2011,0.079
Muhlenberg,2010-2012,0.08
Muhlenberg,2011-2013,0.067
Muhlenberg,2012-2014,0.075
Muhlenberg,2013-2015,0.075
Muhlenberg,2014-2016,0.08341
Muhlenberg,2015-2017,0.079
Muhlenberg,2016-2018,0.081
Nelson,2008-2010,0.092
Nelson,2009-2011,0.089
Nelson,2010-2012,0.096
Nelson,2011-2013,0.093
Nelson,2012-2014,0.093
Nelson,2013-2015,0.084
Nelson,2014-2016,0.075
Nelson,2015-2017,0.074
Nelson,2016-2018,0.074
Nicholas,2008-2010,0.094
Nicholas,2009-2011,0.118
Nicholas,2010-2012,0.112
Nicholas,2011-2013,0.122
Nicholas,2012-2014,0.105
Nicholas,2013-2015,0.102
Nicholas,2014-2016,0.09191
Nicholas,2015-2017,0.101
Nicholas,2016-2018,0.089
Ohio,2008-2010,0.087
Ohio,2009-2011,0.1
Ohio,2010-2012,0.094
Ohio,2011-2013,0.09
Ohio,2012-2014,0.086
Ohio,2013-2015,0.085
Ohio,2014-2016,0.08746
Ohio,2015-2017,0.083
Ohio,2016-2018,0.077
Oldham,2008-2010,0.077
Oldham,2009-2011,0.087
Oldham,2010-2012,0.091
Oldham,2011-2013,0.091
Oldham,2012-2014,0.082
Oldham,2013-2015,0.074
Oldham,2014-2016,0.06842
Oldham,2015-2017,0.065
Oldham,2016-2018,0.063
Owen,2008-2010,0.114
Owen,2009-2011,0.096
Owen,2010-2012,0.091
Owen,2011-2013,0.09
Owen,2012-2014,0.092
Owen,2013-2015,0.105
Owen,2014-2016,0.1
Owen,2015-2017,0.089
Owen,2016-2018,0.076
Owsley,2008-2010,0.081
Owsley,2009-2011,0.106
Owsley,2010-2012,0.131
Owsley,2011-2013,0.15
Owsley,2012-2014,0.11
Owsley,2013-2015,0.09
Owsley,2014-2016,0.07647
Owsley,2015-2017,0.078
Owsley,2016-2018,0.106
Pendleton,2008-2010,0.108
Pendleton,2009-2011,0.109
Pendleton,2010-2012,0.1
Pendleton,2011-2013,0.09
Pendleton,2012-2014,0.077
Pendleton,2013-2015,0.069
Pendleton,2014-2016,0.07934
Pendleton,2015-2017,0.089
Pendleton,2016-2018,0.096
Perry,2008-2010,0.113
Perry,2009-2011,0.112
Perry,2010-2012,0.119
Perry,2011-2013,0.112
Perry,2012-2014,0.113
Perry,2013-2015,0.107
Perry,2014-2016,0.10504
Perry,2015-2017,0.104
Perry,2016-2018,0.1
Pike,2008-2010,0.117
Pike,2009-2011,0.119
Pike,2010-2012,0.109
Pike,2011-2013,0.104
Pike,2012-2014,0.102
Pike,2013-2015,0.106
Pike,2014-2016,0.11111
Pike,2015-2017,0.101
Pike,2016-2018,0.11
Powell,2008-2010,0.114
Powell,2009-2011,0.094
Powell,2010-2012,0.078
Powell,2011-2013,0.079
Powell,2012-2014,0.083
Powell,2013-2015,0.089
Powell,2014-2016,0.09109
