Location,TimeFrame,CHILD_POVERTY_PCT
Grayson,1997,28.6
Grayson,1998,22.9
Grayson,1999,24.4
Grayson,2000,25
Grayson,2001,25
Grayson,2002,25.9
Grayson,2003,26
Grayson,2004,26.4
Grayson,2005,35
Grayson,2006,28.2
Grayson,2007,29.3
Grayson,2008,27.5
Grayson,2009,31.8
Grayson,2010,31.8
Grayson,2011,39.2
Grayson,2012,32.1
Grayson,2013,34.6
Grayson,2014,30.5
Grayson,2015,32.5
Grayson,2016,32.2
Grayson,2017,29.6
Grayson,2018,28.7
Green,1997,29.7
Green,1998,29.1
Green,1999,25.7
Green,2000,23.6
Green,2001,25.1
Green,2002,25.2
Green,2003,25.5
Green,2004,25.3
Green,2005,28
Green,2006,27.4
Green,2007,27.8
Green,2008,29.8
Green,2009,34.1
Green,2010,32.4
Green,2011,35.2
Green,2012,31.4
Green,2013,31.6
Green,2014,29.6
Green,2015,29.1
Green,2016,28.7
Green,2017,26.2
Green,2018,26.1
Greenup,1997,24.2
Greenup,1998,22.8
Greenup,1999,21
Greenup,2000,18.9
Greenup,2001,20.2
Greenup,2002,21.5
Greenup,2003,21.9
Greenup,2004,22.4
Greenup,2005,27
Greenup,2006,22.2
Greenup,2007,22.5
Greenup,2008,22
Greenup,2009,23.3
Greenup,2010,23.8
Greenup,2011,24.1
Greenup,2012,25.1
Greenup,2013,25.7
Greenup,2014,22.5
Greenup,2015,23.5
Greenup,2016,24.4
Greenup,2017,22.2
Greenup,2018,21.3
Hancock,1997,16.1
Hancock,1998,14.5
Hancock,1999,16.5
Hancock,2000,18.2
Hancock,2001,13.9
Hancock,2002,13.3
Hancock,2003,14.2
Hancock,2004,15.7
Hancock,2005,17
Hancock,2006,15.9
Hancock,2007,17.7
Hancock,2008,17.1
Hancock,2009,18.4
Hancock,2010,20.1
Hancock,2011,19.9
Hancock,2012,20.9
Hancock,2013,19.3
Hancock,2014,18.9
Hancock,2015,20
Hancock,2016,17.4
Hancock,2017,17.2
Hancock,2018,16.3
Hardin,1997,16.9
Hardin,1998,17.9
Hardin,1999,15.2
Hardin,2000,13.9
Hardin,2001,15.7
Hardin,2002,17.1
Hardin,2003,15.5
Hardin,2004,18.1
Hardin,2005,17
Hardin,2006,17.3
Hardin,2007,16.4
Hardin,2008,18.3
Hardin,2009,21.4
Hardin,2010,22.6
Hardin,2011,24
Hardin,2012,22.3
Hardin,2013,20.3
Hardin,2014,21.8
Hardin,2015,21.6
Hardin,2016,18.5
Hardin,2017,16.8
Hardin,2018,17.7
Harlan,1997,39.1
Harlan,1998,32.2
Harlan,1999,34.3
Harlan,2000,40.4
Harlan,2001,36.8
Harlan,2002,39.7
Harlan,2003,37.9
Harlan,2004,37.9
Harlan,2005,43
Harlan,2006,42.9
Harlan,2007,39.9
Harlan,2008,41.6
Harlan,2009,44.2
Harlan,2010,39.2
Harlan,2011,41.6
Harlan,2012,38.8
Harlan,2013,36.6
Harlan,2014,42.6
Harlan,2015,47.7
Harlan,2016,44.1
Harlan,2017,49.2
Harlan,2018,43.6
Harrison,1997,19.6
Harrison,1998,17.9
Harrison,1999,17.9
Harrison,2000,16.1
Harrison,2001,16.4
Harrison,2002,18
Harrison,2003,18.6
Harrison,2004,19.5
Harrison,2005,20
Harrison,2006,20.6
Harrison,2007,19.9
Harrison,2008,21.6
Harrison,2009,28
Harrison,2010,24.4
Harrison,2011,27.5
Harrison,2012,26.8
Harrison,2013,25.1
Harrison,2014,24.2
Harrison,2015,24.4
Harrison,2016,23.4
Harrison,2017,21.1
Harrison,2018,21.7
Hart,1997,34.5
Hart,1998,28.6
Hart,1999,28.6
Hart,2000,28.6
Hart,2001,29.7
Hart,2002,30.8
Hart,2003,28.8
Hart,2004,28.9
Hart,2005,34
Hart,2006,31.6
Hart,2007,33.1
Hart,2008,32
Hart,2009,35.4
Hart,2010,37
Hart,2011,40.4
Hart,2012,36.2
Hart,2013,37.5
Hart,2014,33.7
Hart,2015,31.1
