Location,TimeFrame,SMOKING_MOM_PCT
Lewis,2009-2011,0.287
Lewis,2010-2012,0.306
Lewis,2011-2013,0.31
Lewis,2012-2014,0.309
Lewis,2013-2015,0.318
Lewis,2014-2016,0.309
Lewis,2015-2017,0.299
Lewis,2016-2018,0.286
Lincoln,2008-2010,0.292
Lincoln,2009-2011,0.281
Lincoln,2010-2012,0.294
Lincoln,2011-2013,0.295
Lincoln,2012-2014,0.293
Lincoln,2013-2015,0.268
Lincoln,2014-2016,0.259
Lincoln,2015-2017,0.249
Lincoln,2016-2018,0.238
Livingston,2008-2010,0.238
Livingston,2009-2011,0.282
Livingston,2010-2012,0.296
Livingston,2011-2013,0.283
Livingston,2012-2014,0.183
Livingston,2013-2015,0.168
Livingston,2014-2016,0.155
Livingston,2015-2017,0.242
Livingston,2016-2018,0.239
Logan,2008-2010,0.26
Logan,2009-2011,0.234
Logan,2010-2012,0.221
Logan,2011-2013,0.214
Logan,2012-2014,0.213
Logan,2013-2015,0.195
Logan,2014-2016,0.182
Logan,2015-2017,0.168
Logan,2016-2018,0.161
Lyon,2008-2010,0.269
Lyon,2009-2011,0.282
Lyon,2010-2012,0.229
Lyon,2011-2013,0.269
Lyon,2012-2014,0.212
Lyon,2013-2015,0.223
Lyon,2014-2016,0.212
Lyon,2015-2017,0.268
Lyon,2016-2018,0.225
McCracken,2008-2010,0.198
McCracken,2009-2011,0.205
McCracken,2010-2012,0.208
McCracken,2011-2013,0.188
McCracken,2012-2014,0.143
McCracken,2013-2015,0.137
McCracken,2014-2016,0.133
McCracken,2015-2017,0.171
McCracken,2016-2018,0.162
McCreary,2008-2010,0.375
McCreary,2009-2011,0.349
McCreary,2010-2012,0.329
McCreary,2011-2013,0.33
McCreary,2012-2014,0.305
McCreary,2013-2015,0.299
McCreary,2014-2016,0.283
McCreary,2015-2017,0.292
McCreary,2016-2018,0.286
McLean,2008-2010,0.257
McLean,2009-2011,0.247
McLean,2010-2012,0.283
McLean,2011-2013,0.27
McLean,2012-2014,0.239
McLean,2013-2015,0.198
McLean,2014-2016,0.176
McLean,2015-2017,0.184
McLean,2016-2018,0.181
Madison,2008-2010,0.228
Madison,2009-2011,0.217
Madison,2010-2012,0.226
Madison,2011-2013,0.211
Madison,2012-2014,0.204
Madison,2013-2015,0.196
Madison,2014-2016,0.186
Madison,2015-2017,0.191
Madison,2016-2018,0.177
Magoffin,2008-2010,0.323
Magoffin,2009-2011,0.295
Magoffin,2010-2012,0.291
Magoffin,2011-2013,0.318
Magoffin,2012-2014,0.338
Magoffin,2013-2015,0.332
Magoffin,2014-2016,0.319
Magoffin,2015-2017,0.306
Magoffin,2016-2018,0.302
Marion,2008-2010,0.293
Marion,2009-2011,0.277
Marion,2010-2012,0.289
Marion,2011-2013,0.292
Marion,2012-2014,0.278
Marion,2013-2015,0.27
Marion,2014-2016,0.255
Marion,2015-2017,0.284
Marion,2016-2018,0.278
Marshall,2008-2010,0.268
Marshall,2009-2011,0.229
Marshall,2010-2012,0.219
Marshall,2011-2013,0.214
Marshall,2012-2014,0.195
Marshall,2013-2015,0.2
Marshall,2014-2016,0.175
Marshall,2015-2017,0.224
Marshall,2016-2018,0.206
Martin,2008-2010,0.385
Martin,2009-2011,0.355
Martin,2010-2012,0.358
Martin,2011-2013,0.362
Martin,2012-2014,0.376
Martin,2013-2015,0.345
Martin,2014-2016,0.34
Martin,2015-2017,0.343
Martin,2016-2018,0.381
Mason,2008-2010,0.365
Mason,2009-2011,0.314
Mason,2010-2012,0.31
Mason,2011-2013,0.292
Mason,2012-2014,0.281
Mason,2013-2015,0.276
Mason,2014-2016,0.275
Mason,2015-2017,0.294
Mason,2016-2018,0.265
Meade,2008-2010,0.236
Meade,2009-2011,0.207
Meade,2010-2012,0.205
Meade,2011-2013,0.221
Meade,2012-2014,0.206
Meade,2013-2015,0.212
Meade,2014-2016,0.202
Meade,2015-2017,0.233
Meade,2016-2018,0.21
Menifee,2008-2010,0.412
Menifee,2009-2011,0.391
Menifee,2010-2012,0.348
Menifee,2011-2013,0.334
Menifee,2012-2014,0.331
Menifee,2013-2015,0.355
Menifee,2014-2016,0.335
Menifee,2015-2017,0.329
Menifee,2016-2018,0.3
Mercer,2008-2010,0.286
Mercer,2009-2011,0.266
Mercer,2010-2012,0.259
Mercer,2011-2013,0.26
Mercer,2012-2014,0.253
Mercer,2013-2015,0.239
Mercer,2014-2016,0.204
Mercer,2015-2017,0.201
Mercer,2016-2018,0.198
Metcalfe,2008-2010,0.299
Metcalfe,2009-2011,0.283
Metcalfe,2010-2012,0.264
Metcalfe,2011-2013,0.269
Metcalfe,2012-2014,0.253
Metcalfe,2013-2015,0.245
Metcalfe,2014-2016,0.234
Metcalfe,2015-2017,0.227
Metcalfe,2016-2018,0.236
Monroe,2008-2010,0.276
Monroe,2009-2011,0.268
Monroe,2010-2012,0.267
Monroe,2011-2013,0.234
Monroe,2012-2014,0.248
