Location,TimeFrame,SINGLE_PARENT_PCT
Metcalfe,2009-2013,0.18
Metcalfe,2010-2014,0.17
Metcalfe,2011-2015,0.15
Metcalfe,2012-2016,0.23
Metcalfe,2013-2017,0.26
Monroe,2007-2011,0.29
Monroe,2008-2012,0.25
Monroe,2009-2013,0.28
Monroe,2010-2014,0.33
Monroe,2011-2015,0.28
Monroe,2012-2016,0.27
Monroe,2013-2017,0.2
Montgomery,2007-2011,0.34
Montgomery,2008-2012,0.38
Montgomery,2009-2013,0.38
Montgomery,2010-2014,0.37
Montgomery,2011-2015,0.37
Montgomery,2012-2016,0.39
Montgomery,2013-2017,0.34
Morgan,2007-2011,0.28
Morgan,2008-2012,0.26
Morgan,2009-2013,0.26
Morgan,2010-2014,0.31
Morgan,2011-2015,0.36
Morgan,2012-2016,0.4
Morgan,2013-2017,0.37
Muhlenberg,2007-2011,0.22
Muhlenberg,2008-2012,0.26
Muhlenberg,2009-2013,0.32
Muhlenberg,2010-2014,0.36
Muhlenberg,2011-2015,0.31
Muhlenberg,2012-2016,0.33
Muhlenberg,2013-2017,0.35
Nelson,2007-2011,0.27
Nelson,2008-2012,0.31
Nelson,2009-2013,0.3
Nelson,2010-2014,0.3
Nelson,2011-2015,0.31
Nelson,2012-2016,0.27
Nelson,2013-2017,0.23
Nicholas,2007-2011,0.21
Nicholas,2008-2012,0.21
Nicholas,2009-2013,0.28
Nicholas,2010-2014,0.32
Nicholas,2011-2015,0.35
Nicholas,2012-2016,0.38
Nicholas,2013-2017,0.4
Ohio,2007-2011,0.32
Ohio,2008-2012,0.34
Ohio,2009-2013,0.34
Ohio,2010-2014,0.35
Ohio,2011-2015,0.33
Ohio,2012-2016,0.3
Ohio,2013-2017,0.27
Oldham,2007-2011,0.17
Oldham,2008-2012,0.17
Oldham,2009-2013,0.17
Oldham,2010-2014,0.18
Oldham,2011-2015,0.17
Oldham,2012-2016,0.16
Oldham,2013-2017,0.14
Owen,2007-2011,0.25
Owen,2008-2012,0.27
Owen,2009-2013,0.27
Owen,2010-2014,0.36
Owen,2011-2015,0.35
Owen,2012-2016,0.31
Owen,2013-2017,0.26
Owsley,2007-2011,S
Owsley,2008-2012,0.27
Owsley,2009-2013,0.32
Owsley,2010-2014,0.42
Owsley,2011-2015,0.42
Owsley,2012-2016,0.39
Owsley,2013-2017,0.45
Pendleton,2007-2011,0.27
Pendleton,2008-2012,0.3
Pendleton,2009-2013,0.26
Pendleton,2010-2014,0.25
Pendleton,2011-2015,0.27
Pendleton,2012-2016,0.22
Pendleton,2013-2017,0.24
Perry,2007-2011,0.4
Perry,2008-2012,0.41
Perry,2009-2013,0.39
Perry,2010-2014,0.37
Perry,2011-2015,0.3
Perry,2012-2016,0.34
Perry,2013-2017,0.29
Pike,2007-2011,0.24
Pike,2008-2012,0.27
Pike,2009-2013,0.29
Pike,2010-2014,0.29
Pike,2011-2015,0.27
Pike,2012-2016,0.3
Pike,2013-2017,0.3
Powell,2007-2011,0.35
Powell,2008-2012,0.41
Powell,2009-2013,0.46
Powell,2010-2014,0.37
Powell,2011-2015,0.34
Powell,2012-2016,0.37
Powell,2013-2017,0.32
Pulaski,2007-2011,0.32
Pulaski,2008-2012,0.32
Pulaski,2009-2013,0.32
Pulaski,2010-2014,0.35
Pulaski,2011-2015,0.38
Pulaski,2012-2016,0.36
Pulaski,2013-2017,0.33
Robertson,2007-2011,S
Robertson,2008-2012,0.27
Robertson,2009-2013,S
Robertson,2010-2014,S
Robertson,2011-2015,0.35
Robertson,2012-2016,0.4
Robertson,2013-2017,0.38
Rockcastle,2007-2011,0.23
Rockcastle,2008-2012,0.19
Rockcastle,2009-2013,0.25
Rockcastle,2010-2014,0.28
Rockcastle,2011-2015,0.28
Rockcastle,2012-2016,0.31
Rockcastle,2013-2017,0.34
Rowan,2007-2011,0.32
Rowan,2008-2012,0.3
Rowan,2009-2013,0.27
Rowan,2010-2014,0.19
Rowan,2011-2015,0.27
Rowan,2012-2016,0.35
Rowan,2013-2017,0.36
Russell,2007-2011,0.28
Russell,2008-2012,0.3
Russell,2009-2013,0.3
Russell,2010-2014,0.34
Russell,2011-2015,0.37
Russell,2012-2016,0.34
Russell,2013-2017,0.36
Scott,2007-2011,0.26
Scott,2008-2012,0.28
Scott,2009-2013,0.27
Scott,2010-2014,0.26
Scott,2011-2015,0.26
Scott,2012-2016,0.24
Scott,2013-2017,0.25
Shelby,2007-2011,0.26
Shelby,2008-2012,0.28
Shelby,2009-2013,0.28
Shelby,2010-2014,0.3
Shelby,2011-2015,0.27
Shelby,2012-2016,0.27
Shelby,2013-2017,0.26
Simpson,2007-2011,0.32
Simpson,2008-2012,0.31
Simpson,2009-2013,0.28
Simpson,2010-2014,0.32
Simpson,2011-2015,0.3
Simpson,2012-2016,0.26
Simpson,2013-2017,0.27
Spencer,2007-2011,0.19
Spencer,2008-2012,0.21
Spencer,2009-2013,0.26
Spencer,2010-2014,0.25
Spencer,2011-2015,0.24
Spencer,2012-2016,0.23
Spencer,2013-2017,0.19
Taylor,2007-2011,0.35
Taylor,2008-2012,0.38
Taylor,2009-2013,0.37
Taylor,2010-2014,0.36
Taylor,2011-2015,0.45
Taylor,2012-2016,0.5
Taylor,2013-2017,0.48
Todd,2007-2011,0.28
Todd,2008-2012,0.3
Todd,2009-2013,0.26
Todd,2010-2014,0.27
Todd,2011-2015,0.27
Todd,2012-2016,0.23
Todd,2013-2017,0.22
Trigg,2007-2011,0.31
Trigg,2008-2012,0.3
Trigg,2009-2013,0.34
Trigg,2010-2014,0.35
Trigg,2011-2015,0.37
Trigg,2012-2016,0.37
Trigg,2013-2017,0.29
Trimble,2007-2011,0.13
Trimble,2008-2012,S
Trimble,2009-2013,0.17
Trimble,2010-2014,0.28
Trimble,2011-2015,0.31
Trimble,2012-2016,0.34
Trimble,2013-2017,0.36
Union,2007-2011,0.34
Union,2008-2012,0.32
Union,2009-2013,0.36
Union,2010-2014,0.32
Union,2011-2015,0.3
Union,2012-2016,0.28
Union,2013-2017,0.3
Warren,2007-2011,0.32
Warren,2008-2012,0.31
Warren,2009-2013,0.29
Warren,2010-2014,0.31
Warren,2011-2015,0.32
Warren,2012-2016,0.32
Warren,2013-2017,0.34
Washington,2007-2011,0.22
Washington,2008-2012,0.27
Washington,2009-2013,0.32
Washington,2010-2014,0.35
Washington,2011-2015,0.32
Washington,2012-2016,0.28
Washington,2013-2017,0.2
Wayne,2007-2011,0.27
Wayne,2008-2012,0.32
Wayne,2009-2013,0.3
Wayne,2010-2014,0.32
Wayne,2011-2015,0.31
Wayne,2012-2016,0.25
Wayne,2013-2017,0.23
Webster,2007-2011,0.23
Webster,2008-2012,0.21
Webster,2009-2013,0.2
Webster,2010-2014,0.24
Webster,2011-2015,0.25
Webster,2012-2016,0.29
Webster,2013-2017,0.32
Whitley,2007-2011,0.31
Whitley,2008-2012,0.31
Whitley,2009-2013,0.35
Whitley,2010-2014,0.31
Whitley,2011-2015,0.3
Whitley,2012-2016,0.28
Whitley,2013-2017,0.25
Wolfe,2007-2011,0.43
Wolfe,2008-2012,0.43
Wolfe,2009-2013,0.38
Wolfe,2010-2014,0.4
Wolfe,2011-2015,0.39
Wolfe,2012-2016,0.42
Wolfe,2013-2017,0.31
Woodford,2007-2011,0.3
Woodford,2008-2012,0.27
Woodford,2009-2013,0.29
Woodford,2010-2014,0.25
Woodford,2011-2015,0.25
Woodford,2012-2016,0.33
Woodford,2013-2017,0.34
