Location,TimeFrame,SNAP_CNT
Johnson,2014,2148
Johnson,2015,2040
Johnson,2016,1906
Johnson,2017,1990
Johnson,2018,1871
Kenton,2000,4611
Kenton,2005,6720
Kenton,2006,7153
Kenton,2007,7174
Kenton,2008,7421
Kenton,2009,8386
Kenton,2010,9246
Kenton,2011,9532
Kenton,2012,9525
Kenton,2013,9781
Kenton,2014,8680
Kenton,2015,8350
Kenton,2016,7668
Kenton,2017,8153
Kenton,2018,7784
Knott,2000,1902
Knott,2005,1699
Knott,2006,1629
Knott,2007,1583
Knott,2008,1471
Knott,2009,1485
Knott,2010,1592
Knott,2011,1623
Knott,2012,1647
Knott,2013,1742
Knott,2014,1659
Knott,2015,1600
Knott,2016,1543
Knott,2017,1648
Knott,2018,1591
Knox,2000,3391
Knox,2005,3687
Knox,2006,3708
Knox,2007,3868
Knox,2008,3970
Knox,2009,4218
Knox,2010,4355
Knox,2011,4273
Knox,2012,4329
Knox,2013,4399
Knox,2014,4087
Knox,2015,3950
Knox,2016,3670
Knox,2017,4010
Knox,2018,3964
Larue,2000,531
Larue,2005,736
Larue,2006,774
Larue,2007,781
Larue,2008,843
Larue,2009,1031
Larue,2010,1060
Larue,2011,1088
Larue,2012,1060
Larue,2013,1033
Larue,2014,944
Larue,2015,853
Larue,2016,778
Larue,2017,837
Larue,2018,780
Laurel,2000,3274
Laurel,2005,4340
Laurel,2006,4436
Laurel,2007,4659
Laurel,2008,4819
Laurel,2009,5116
Laurel,2010,5310
Laurel,2011,5512
Laurel,2012,5631
Laurel,2013,5485
Laurel,2014,5124
Laurel,2015,4975
Laurel,2016,4726
Laurel,2017,5221
Laurel,2018,5035
Lawrence,2000,1432
Lawrence,2005,1439
Lawrence,2006,1474
Lawrence,2007,1417
Lawrence,2008,1388
Lawrence,2009,1410
Lawrence,2010,1473
Lawrence,2011,1426
Lawrence,2012,1427
Lawrence,2013,1437
Lawrence,2014,1402
Lawrence,2015,1433
Lawrence,2016,1427
Lawrence,2017,1486
Lawrence,2018,1349
Lee,2000,799
Lee,2005,787
Lee,2006,793
Lee,2007,793
Lee,2008,772
Lee,2009,785
Lee,2010,834
Lee,2011,830
Lee,2012,826
Lee,2013,825
Lee,2014,802
Lee,2015,764
Lee,2016,664
Lee,2017,743
Lee,2018,727
Leslie,2000,1180
Leslie,2005,1239
Leslie,2006,1146
Leslie,2007,1169
Leslie,2008,1071
Leslie,2009,1078
Leslie,2010,1068
Leslie,2011,1037
Leslie,2012,1118
Leslie,2013,1235
Leslie,2014,1184
Leslie,2015,1131
Leslie,2016,1062
Leslie,2017,1129
Leslie,2018,1018
Letcher,2000,2303
Letcher,2005,2264
Letcher,2006,2203
Letcher,2007,2183
Letcher,2008,2047
Letcher,2009,2129
Letcher,2010,2239
Letcher,2011,2187
Letcher,2012,2281
Letcher,2013,2382
Letcher,2014,2239
Letcher,2015,2238
Letcher,2016,2232
Letcher,2017,2266
Letcher,2018,2103
Lewis,2000,1150
Lewis,2005,1415
Lewis,2006,1411
Lewis,2007,1402
Lewis,2008,1353
Lewis,2009,1424
Lewis,2010,1449
Lewis,2011,1521
Lewis,2012,1512
Lewis,2013,1515
Lewis,2014,1401
Lewis,2015,1309
Lewis,2016,1210
Lewis,2017,1292
Lewis,2018,1193
Lincoln,2000,960
Lincoln,2005,1496
Lincoln,2006,1651
Lincoln,2007,1714
Lincoln,2008,1694
Lincoln,2009,1909
Lincoln,2010,2058
Lincoln,2011,2077
Lincoln,2012,2107
Lincoln,2013,2125
Lincoln,2014,2023
Lincoln,2015,1892
Lincoln,2016,1738
Lincoln,2017,1816
Lincoln,2018,1700
Livingston,2000,277
Livingston,2005,385
Livingston,2006,415
Livingston,2007,411
Livingston,2008,439
Livingston,2009,496
Livingston,2010,596
Livingston,2011,580
Livingston,2012,604
Livingston,2013,605
Livingston,2014,537
Livingston,2015,522
Livingston,2016,490
Livingston,2017,549
Livingston,2018,491
Logan,2000,911
Logan,2005,1454
Logan,2006,1482
Logan,2007,1472
Logan,2008,1434
Logan,2009,1642
Logan,2010,1749
Logan,2011,1819
Logan,2012,1895
Logan,2013,1910
Logan,2014,1798
Logan,2015,1608
Logan,2016,1447
Logan,2017,1560
Logan,2018,1519
Lyon,2000,154
Lyon,2005,200
Lyon,2006,210
Lyon,2007,218
Lyon,2008,228
Lyon,2009,237
Lyon,2010,269
Lyon,2011,293
Lyon,2012,295
Lyon,2013,341
Lyon,2014,316
Lyon,2015,267
Lyon,2016,249
Lyon,2017,261
Lyon,2018,238
McCracken,2000,3066
McCracken,2005,3794
McCracken,2006,3661
McCracken,2007,3667
McCracken,2008,3606
McCracken,2009,3869
McCracken,2010,4117
McCracken,2011,4226
McCracken,2012,4355
McCracken,2013,4305
McCracken,2014,3964
McCracken,2015,3747
McCracken,2016,3761
McCracken,2017,3910
McCracken,2018,3906
McCreary,2000,2053
McCreary,2005,2109
McCreary,2006,2067
McCreary,2007,1998
McCreary,2008,1965
McCreary,2009,2008
McCreary,2010,2048
McCreary,2011,2086
McCreary,2012,2103
McCreary,2013,2103
McCreary,2014,2048
McCreary,2015,1999
McCreary,2016,1752
McCreary,2017,1995
McCreary,2018,1851
McLean,2000,300
McLean,2005,490
McLean,2006,512
McLean,2007,520
McLean,2008,521
McLean,2009,587
McLean,2010,624
McLean,2011,621
McLean,2012,634
McLean,2013,598
McLean,2014,549
McLean,2015,535
McLean,2016,593
McLean,2017,510
McLean,2018,465
Madison,2000,2286
Madison,2005,3515
Madison,2006,3800
Madison,2007,4005
Madison,2008,4172
Madison,2009,4650
Madison,2010,4759
Madison,2011,4875
Madison,2012,4928
Madison,2013,4916
Madison,2014,4724
Madison,2015,4480
Madison,2016,3464
Madison,2017,4394
Madison,2018,4315
Magoffin,2000,1555
Magoffin,2005,1572
Magoffin,2006,1564
Magoffin,2007,1593
Magoffin,2008,1506
Magoffin,2009,1536
Magoffin,2010,1558
Magoffin,2011,1535
Magoffin,2012,1560
Magoffin,2013,1547
Magoffin,2014,1477
Magoffin,2015,1480
Magoffin,2016,1332
Magoffin,2017,1447
Magoffin,2018,1344
Marion,2000,802
Marion,2005,1003
Marion,2006,982
Marion,2007,1013
Marion,2008,1086
Marion,2009,1348
Marion,2010,1428
Marion,2011,1522
Marion,2012,1544
Marion,2013,1519
Marion,2014,1362
Marion,2015,1290
Marion,2016,1179
Marion,2017,1236
Marion,2018,1205
Marshall,2000,754
Marshall,2005,1258
Marshall,2006,1218
Marshall,2007,1226
Marshall,2008,1271
Marshall,2009,1464
Marshall,2010,1535
Marshall,2011,1504
Marshall,2012,1488
Marshall,2013,1520
Marshall,2014,1370
Marshall,2015,1370
Marshall,2016,1765
Marshall,2017,1436
Marshall,2018,1343
Martin,2000,1580
Martin,2005,1510
Martin,2006,1475
Martin,2007,1449
Martin,2008,1372
Martin,2009,1359
Martin,2010,1412
Martin,2011,1434
Martin,2012,1453
Martin,2013,1405
Martin,2014,1350
Martin,2015,1301
Martin,2016,1381
Martin,2017,1262
Martin,2018,1166
Mason,2000,872
Mason,2005,1121
Mason,2006,1245
Mason,2007,1209
Mason,2008,1278
Mason,2009,1427
Mason,2010,1519
Mason,2011,1577
Mason,2012,1581
Mason,2013,1496
Mason,2014,1360
Mason,2015,1245
Mason,2016,1001
Mason,2017,1262
Mason,2018,1231
Meade,2000,583
Meade,2005,1134
Meade,2006,1155
Meade,2007,1207
Meade,2008,1176
Meade,2009,1284
Meade,2010,1376
Meade,2011,1521
Meade,2012,1563
Meade,2013,1569
Meade,2014,1487
Meade,2015,1360
Meade,2016,1178
Meade,2017,1287
Meade,2018,1156
Menifee,2000,488
Menifee,2005,599
Menifee,2006,579
Menifee,2007,652
Menifee,2008,652
Menifee,2009,673
Menifee,2010,665
Menifee,2011,639
Menifee,2012,595
Menifee,2013,613
Menifee,2014,564
Menifee,2015,546
Menifee,2016,545
Menifee,2017,618
Menifee,2018,579
Mercer,2000,589
Mercer,2005,998
Mercer,2006,1019
Mercer,2007,1022
Mercer,2008,1049
Mercer,2009,1214
Mercer,2010,1282
Mercer,2011,1340
Mercer,2012,1330
Mercer,2013,1228
Mercer,2014,1149
Mercer,2015,1043
Mercer,2016,995
Mercer,2017,1074
Mercer,2018,1065
Metcalfe,2000,452
Metcalfe,2005,646
Metcalfe,2006,689
Metcalfe,2007,690
Metcalfe,2008,736
Metcalfe,2009,877
Metcalfe,2010,925
Metcalfe,2011,916
Metcalfe,2012,949
Metcalfe,2013,973
Metcalfe,2014,925
Metcalfe,2015,848
Metcalfe,2016,797
Metcalfe,2017,862
Metcalfe,2018,811
Monroe,2000,588
Monroe,2005,743
Monroe,2006,781
Monroe,2007,795
Monroe,2008,779
Monroe,2009,877
Monroe,2010,944
Monroe,2011,956
Monroe,2012,964
Monroe,2013,980
Monroe,2014,906
Monroe,2015,906
Monroe,2016,843
Monroe,2017,894
Monroe,2018,859
Montgomery,2000,1080
Montgomery,2005,1620
Montgomery,2006,1620
Montgomery,2007,1644
Montgomery,2008,1681
Montgomery,2009,1889
Montgomery,2010,2017
Montgomery,2011,2216
Montgomery,2012,2254
Montgomery,2013,2269
Montgomery,2014,2062
Montgomery,2015,1923
Montgomery,2016,1813
Montgomery,2017,1953
Montgomery,2018,1867
Morgan,2000,1048
Morgan,2005,1138
Morgan,2006,1117
Morgan,2007,1122
Morgan,2008,1104
Morgan,2009,1172
Morgan,2010,1222
Morgan,2011,1150
Morgan,2012,1072
Morgan,2013,1072
