Location,TimeFrame,CHILD_DEEP_POV_PCT
Laurel,2013-2017,0.23
Laurel,2014-2018,0.22
Lawrence,2005-2009,0.21
Lawrence,2006-2010,0.18
Lawrence,2007-2011,0.17
Lawrence,2008-2012,0.16
Lawrence,2009-2013,0.11
Lawrence,2010-2014,0.08
Lawrence,2011-2015,0.08
Lawrence,2012-2016,0.08
Lawrence,2013-2017,0.12
Lawrence,2014-2018,0.14
Lee,2005-2009,0.23
Lee,2006-2010,0.33
Lee,2007-2011,0.29
Lee,2008-2012,0.36
Lee,2009-2013,0.34
Lee,2010-2014,0.26
Lee,2011-2015,0.18
Lee,2012-2016,0.3
Lee,2013-2017,0.28
Lee,2014-2018,0.27
Leslie,2005-2009,S
Leslie,2006-2010,S
Leslie,2007-2011,S
Leslie,2008-2012,S
Leslie,2009-2013,0.12
Leslie,2010-2014,0.11
Leslie,2011-2015,0.14
Leslie,2012-2016,0.14
Leslie,2013-2017,0.18
Leslie,2014-2018,0.21
Letcher,2005-2009,0.18
Letcher,2006-2010,0.17
Letcher,2007-2011,0.18
Letcher,2008-2012,0.17
Letcher,2009-2013,0.2
Letcher,2010-2014,0.16
Letcher,2011-2015,0.24
Letcher,2012-2016,0.29
Letcher,2013-2017,0.28
Letcher,2014-2018,0.28
Lewis,2005-2009,0.13
Lewis,2006-2010,0.18
Lewis,2007-2011,0.23
Lewis,2008-2012,0.26
Lewis,2009-2013,0.21
Lewis,2010-2014,0.25
Lewis,2011-2015,0.23
Lewis,2012-2016,0.19
Lewis,2013-2017,0.17
Lewis,2014-2018,0.2
Lincoln,2005-2009,0.06
Lincoln,2006-2010,0.1
Lincoln,2007-2011,0.09
Lincoln,2008-2012,0.15
Lincoln,2009-2013,0.15
Lincoln,2010-2014,0.18
Lincoln,2011-2015,0.17
Lincoln,2012-2016,0.18
Lincoln,2013-2017,0.13
Lincoln,2014-2018,0.11
Livingston,2005-2009,S
Livingston,2006-2010,S
Livingston,2007-2011,S
Livingston,2008-2012,S
Livingston,2009-2013,S
Livingston,2010-2014,S
Livingston,2011-2015,S
Livingston,2012-2016,S
Livingston,2013-2017,S
Livingston,2014-2018,S
Logan,2005-2009,0.1
Logan,2006-2010,0.15
Logan,2007-2011,0.17
Logan,2008-2012,0.19
Logan,2009-2013,0.22
Logan,2010-2014,0.21
Logan,2011-2015,0.14
Logan,2012-2016,0.1
