Location,TimeFrame,MEDIAN_HOUSEHOLD_INCOME
Simpson,2015,45496
Spencer,2015,68147
Taylor,2015,35700
Todd,2015,40963
Trigg,2015,45106
Trimble,2015,48392
Union,2015,45239
Warren,2015,45964
Washington,2015,45143
Wayne,2015,29826
Webster,2015,44245
Whitley,2015,31903
Wolfe,2015,27196
Woodford,2015,57862
Adair,2016,33925
Allen,2016,41368
Anderson,2016,57448
Ballard,2016,45074
Barren,2016,40274
Bath,2016,36468
Bell,2016,26014
Boone,2016,72942
Bourbon,2016,46231
Boyd,2016,44569
Boyle,2016,44834
Bracken,2016,47182
Breathitt,2016,26659
Breckinridge,2016,43053
Bullitt,2016,63570
Butler,2016,41701
Caldwell,2016,40327
Calloway,2016,39438
Campbell,2016,61490
Carlisle,2016,45362
Carroll,2016,47726
Carter,2016,37406
Casey,2016,29417
Christian,2016,41081
Clark,2016,48474
Clay,2016,24901
Clinton,2016,29582
Crittenden,2016,40656
Cumberland,2016,30771
Daviess,2016,51153
Edmonson,2016,38395
Elliott,2016,33335
Estill,2016,33839
Fayette,2016,53288
Fleming,2016,38860
Floyd,2016,31295
Franklin,2016,52395
Fulton,2016,30605
Gallatin,2016,49945
Garrard,2016,46967
Grant,2016,49312
Graves,2016,41705
Grayson,2016,38418
Green,2016,36246
Greenup,2016,46815
Hancock,2016,56823
Hardin,2016,52040
Harlan,2016,25240
Harrison,2016,49615
Hart,2016,36628
Henderson,2016,46936
Henry,2016,51774
Hickman,2016,39859
Hopkins,2016,43590
Jackson,2016,30798
Jefferson,2016,52008
Jessamine,2016,55047
Johnson,2016,35408
Kenton,2016,61798
Knott,2016,29786
Knox,2016,27432
Larue,2016,44522
Laurel,2016,38323
Lawrence,2016,33757
Lee,2016,25372
Leslie,2016,28595
Letcher,2016,29308
Lewis,2016,32848
Lincoln,2016,35934
Livingston,2016,45229
Logan,2016,43985
Lyon,2016,44767
McCracken,2016,42936
McCreary,2016,25087
McLean,2016,43656
Madison,2016,45406
Magoffin,2016,28996
Marion,2016,41233
Marshall,2016,50165
Martin,2016,29861
Mason,2016,43683
Meade,2016,51893
Menifee,2016,33734
Mercer,2016,51048
Metcalfe,2016,33562
Monroe,2016,33425
Montgomery,2016,44890
Morgan,2016,33716
Muhlenberg,2016,42098
Nelson,2016,56239
Nicholas,2016,38958
Ohio,2016,40859
Oldham,2016,92454
Owen,2016,46358
Owsley,2016,23115
Pendleton,2016,51680
Perry,2016,31814
Pike,2016,32734
Powell,2016,35169
Pulaski,2016,37782
Robertson,2016,41877
Rockcastle,2016,35567
Rowan,2016,38684
Russell,2016,33490
Scott,2016,64809
Shelby,2016,61700
Simpson,2016,45643
Spencer,2016,71156
Taylor,2016,37806
Todd,2016,41072
Trigg,2016,37965
Trimble,2016,51827
Union,2016,47017
Warren,2016,47253
Washington,2016,48041
Wayne,2016,30923
Webster,2016,43605
Whitley,2016,31985
Wolfe,2016,28443
Woodford,2016,58712
